TransactionID,TransactionDate,CustomerID,TransactionType,Category,Amount,BalanceAfterTxn,PaymentMode,Merchant,IsFraudulent
TXN501664,2024-01-01 02:54:43,CUST2577,Credit,Refund,45745.99,71677.41,Credit Card,Uber,No
TXN505478,2024-01-01 03:20:12,CUST2135,Debit,Rent,6059.22,,Debit Card,Netflix,No
TXN507145,2024-01-01 04:58:20,CUST2481,Debit,Healthcare,5205.35,250166.43,UPI,Employer Payroll,No
TXN500766,2024-01-01 05:44:04,CUST2049,Debit,Insurance Premium,8593.97,107456.21,Net Banking,Zomato,No
TXN507795,2024-01-01 08:31:16,CUST2522,Credit,Investment Return,97925.91,156233.97,UPI,Uber,No
TXN505875,2024-01-01 12:46:33,CUST2306,Debit,EMI - Loan,1271.22,263411.76,UPI,Zomato,No
TXN506446,2024-01-01 13:28:13,CUST2522,Credit,Salary,45845.82,239042.34,UPI,Amazon,No
TXN503517,2024-01-01 19:01:20,CUST2491,Debit,Groceries,1580.09,333667.16,UPI,Electricity Board,No
TXN504098,2024-01-01 22:23:18,CUST2105,Credit,Freelance Income,42235.13,,UPI,Apollo Pharmacy,No
TXN503459,2024-01-01 23:54:45,CUST2139,Debit,Rent,1773.09,370439.63,Net Banking,Reliance Digital,No
TXN500653,2024-01-02 00:14:56,CUST2112,Credit,Interest Credit,59062.87,248828.65,Credit Card,LIC,No
TXN501690,2024-01-02 02:10:36,CUST2108,Debit,Insurance Premium,142.28,282099.04,Net Banking,Uber,No
TXN504028,2024-01-02 03:09:24,CUST2192,Credit,Freelance Income,44122.97,237194.77,Debit Card,Amazon,No
TXN500838,2024-01-02 13:12:21,CUST2341,Credit,Freelance Income,20567.94,344599.63,Debit Card,Swiggy,No
TXN504628,2024-01-03 01:54:25,CUST2065,Credit,Interest Credit,56659.02,207452.92,Debit Card,Zomato,No
TXN502555,2024-01-03 02:54:44,CUST2464,Credit,Freelance Income,9189.86,12440.34,Debit Card,Employer Payroll,No
TXN502521,2024-01-03 03:55:34,CUST2356,Debit,Travel,5740.83,50072.42,Credit Card,Uber,No
TXN505949,2024-01-03 05:08:22,CUST2389,Debit,EMI - Loan,1818.56,49267.94,Cash,Amazon,No
TXN507536,2024-01-03 05:37:19,CUST2596,Debit,Travel,1527.7,166448.15,UPI,Uber,No
TXN503681,2024-01-03 08:23:48,CUST2548,Debit,Shopping,5431.21,4004.58,Debit Card,HDFC Bank,No
TXN501980,2024-01-03 12:32:41,CUST2340,Credit,Freelance Income,23585.49,457972.62,Cheque,Amazon,No
TXN503352,2024-01-03 16:26:35,CUST2565,Credit,Investment Return,44972.11,449622.65,Net Banking,Electricity Board,No
TXN503570,2024-01-03 18:51:45,CUST2042,Debit,Entertainment,3773.58,439458.27,Net Banking,Swiggy,No
TXN500561,2024-01-03 19:45:09,CUST2351,Debit,Entertainment,2843.65,332076.82,Cheque,Amazon,No
TXN505529,2024-01-03 21:17:07,CUST2007,Debit,Utilities,681.67,496773.57,UPI,Swiggy,No
TXN502219,2024-01-04 03:56:59,CUST2387,Debit,Groceries,4296.54,95092.94,Net Banking,Local Store,No
TXN506321,2024-01-04 07:57:49,CUST2271,Debit,Groceries,771.9,181665.32,Credit Card,Amazon,No
TXN502177,2024-01-04 08:08:23,CUST2012,Debit,Rent,235.49,430667.13,Debit Card,Apollo Pharmacy,No
TXN502558,2024-01-04 10:20:39,CUST2328,Credit,Refund,25258.27,10531.65,Cheque,Employer Payroll,No
TXN505255,2024-01-04 11:33:55,CUST2217,Debit,Shopping,2066.12,127354.57,UPI,Reliance Digital,No
TXN507382,2024-01-04 16:47:13,CUST2082,Credit,Salary,43081.37,439644.05,UPI,LIC,No
TXN503523,2024-01-05 00:48:49,CUST2454,Debit,EMI - Loan,1034.77,224794.05,Cash,Swiggy,No
TXN503386,2024-01-05 04:27:58,CUST2306,Debit,Dining,2411.99,5697.51,Credit Card,Electricity Board,No
TXN505139,2024-01-05 04:56:20,CUST2507,Debit,Rent,1999.39,,UPI,Reliance Digital,No
TXN500206,2024-01-05 09:55:25,CUST2287,Credit,Interest Credit,49154.34,218030.37,Cheque,LIC,No
TXN500195,2024-01-05 11:00:44,CUST2298,Debit,Healthcare,2946.51,85188.61,Cash,Swiggy,No
TXN504964,2024-01-05 16:42:47,CUST2072,Credit,Refund,40659.43,,Credit Card,Electricity Board,No
TXN505879,2024-01-05 17:16:04,CUST2252,Debit,Entertainment,2088.43,144167.62,UPI,Electricity Board,No
TXN502875,2024-01-05 18:38:36,CUST2547,Debit,Dining,1923.41,351601.01,Net Banking,LIC,No
TXN504161,2024-01-05 22:04:53,CUST2488,Debit,Travel,2397.93,,Credit Card,Uber,No
TXN505843,2024-01-06 03:15:11,CUST2131,Debit,Groceries,1338.4,110443.82,Debit Card,LIC,No
TXN505413,2024-01-06 04:32:46,CUST2186,Debit,Dining,7770.23,368356.52,Debit Card,LIC,No
TXN505945,2024-01-06 13:12:43,CUST2003,Debit,Utilities,5956.81,66194.86,Credit Card,Local Store,No
TXN503393,2024-01-06 14:34:52,CUST2587,Debit,Shopping,543.91,344212.24,Credit Card,Uber,No
